"","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"met20","1,2-dioleoyl-GPE (18:1/18:1)","Lipid","Phosphatidylethanolamine (PE)",52609,"LC/MS Pos Late",100008906,2485,744.55378,"5/1/04",9546757,"","HMDB09837"
"met21","1,2-dioleoyl-GPI (18:1/18:1)","Lipid","Phosphatidylinositol (PI)",52619,"LC/MS Pos Late",100008908,3121,880.59096,"",NA,"","HMDB00564"
"met22","1,2-dipalmitoyl-GPC (16:0/16:0)","Lipid","Phosphatidylcholine (PC)",19130,"LC/MS Pos Late",100000657,2365,734.56944,"63-89-8",452110,"D03585","HMDB02712"
"met23","1,5-anhydroglucitol (1,5-AG)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,"LC/MS Neg",100000580,802,163.06119,"154-58-5",64960,"C07326","HMDB60038"
"met24","10-heptadecenoate (17:1n7)","Lipid","Long Chain Fatty Acid",33971,"LC/MS Neg",100001278,5555,267.23295,"29743-97-3",5312435,"","HMDB13622"
"met25","10-nonadecenoate (19:1n9)","Lipid","Long Chain Fatty Acid",33972,"LC/MS Neg",100001277,5780,295.26425,"73033-09-7",5312513,"","HMDB04705"
"met26","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy",38395,"LC/MS Neg",62,5137,313.23843,"263399-35-5",10236635,"C14829","HMDB06111"
"met27","12-HETE","Lipid","Eicosanoid",37536,"LC/MS Neg",100002167,5326,319.22786,"71030-37-0;73837-14-6",5312983,"","HMDB12535"
"met28","12-HHTrE","Lipid","Eicosanoid",57393,"LC/MS Neg",1261,5175,279.19657,"54397-84-1",5283141,"C20388",""
"met29","13-HODE + 9-HODE","Lipid","Fatty Acid, Monohydroxy",37752,"LC/MS Neg",100002196,5275,295.22825,"",43013,"","HMDB06294"
"met30","16-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",39609,"LC/MS Neg",100002953,5236.2,271.22786,"506-13-8",10466,"C18218","HMDB37397"
"met31","17-methylstearate","Lipid","Fatty Acid, Branched",38296,"LC/MS Neg",100002356,5993,297.2799,"2724-59-6",3083779,"",""
"met32","1-arachidonoyl-GPA (20:4)","Lipid","Lysophospholipid",46325,"LC/MS Neg",100004442,5499,457.23606,"799268-65-8",NA,"","HMDB10395"
"met33","1-arachidonoyl-GPC (20:4n6)*","Lipid","Lysophospholipid",33228,"LC/MS Pos Late",100001551,1460,544.33977,"",NA,"C05208","HMDB11517"
"met34","1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid",35186,"LC/MS Pos Late",100001571,1470,502.29282,"",42607465,"","HMDB61690"
"met35","1-arachidonoyl-GPI (20:4)*","Lipid","Lysophospholipid",34214,"LC/MS Neg",100001654,5482,619.28888,"",NA,"","HMDB11549"
"met36","1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol",34397,"LC/MS Neg",100001433,6250,303.23293,"35474-99-8",5282281,"C13857",""
"met37","1-dihomo-linolenylglycerol (20:3)","Lipid","Monoacylglycerol",48341,"LC/MS Neg",100006121,6400,305.24858,"",NA,"","HMDB11587"
"met38","1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol",35153,"LC/MS Neg",100001481,6150,309.22236,"",NA,"","HMDB11580"
"met39","1-eicosapentaenoylglycerol (20:5)*","Lipid","Monoacylglycerol",53220,"LC/MS Neg",100009403,5988,301.21728,"",NA,"","HMDB10405"
"met40","1-lignoceroyl-GPC (24:0)","Lipid","Lysophospholipid",49617,"LC/MS Pos Late",100002873,1907,608.46497,"325171-59-3",NA,"","HMDB11569"
"met41","1-linolenoylglycerol (18:3)","Lipid","Monoacylglycerol",34393,"LC/MS Neg",100001435,6214,277.21728,"124151-74-2",53480978,"","HMDB10388"
"met42","1-linolenoyl-GPC (18:3)*","Lipid","Lysophospholipid",45951,"LC/MS Pos Late",100005350,1422,518.32412,"",NA,"","HMDB08147"
"met43","1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*","Lipid","Phosphatidylcholine (PC)",52710,"LC/MS Pos Late",100009131,1969,806.56944,"",NA,"","HMDB09102"
"met44","1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*","Lipid","Phosphatidylethanolamine (PE)",53189,"LC/MS Pos Late",100009222,2030,764.52248,"",NA,"","HMDB08141"
"met45","1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phosphatidylcholine (PC)",53176,"LC/MS Pos Late",100009343,1939,780.55378,"",NA,"",""
"met46","1-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",27447,"LC/MS Neg",100001040,6477,279.23293,"2277-28-3",5283469,"","HMDB07856"
"met47","1-linoleoyl-GPA (18:2)*","Lipid","Lysophospholipid",52690,"LC/MS Neg",100009082,5483,433.23606,"",NA,"","HMDB10386"
"met48","1-linoleoyl-GPC (18:2)","Lipid","Lysophospholipid",34419,"LC/MS Pos Late",100001395,1465,520.33977,"",11988421,"C04100","HMDB11507"
"met49","1-linoleoyl-GPE (18:2)*","Lipid","Lysophospholipid",36600,"LC/MS Pos Late",100001570,1482,478.29282,"",52925130,"",""
"met50","1-linoleoyl-GPG (18:2)*","Lipid","Lysophospholipid",54885,"LC/MS Polar",100009227,860,507.27284,"",NA,"",""
"met51","1-linoleoyl-GPI (18:2)*","Lipid","Lysophospholipid",36594,"LC/MS Neg",100001778,5494,595.28888,"",NA,"",""
"met52","1-linoleoyl-GPS (18:2)*","Lipid","Lysophospholipid",43676,"LC/MS Neg",100004606,5500,520.26809,"",NA,"","HMDB03331"
"met53","N1-methyladenosine","Nucleotide","Purine Metabolism, Adenine containing",15650,"LC/MS Pos Early",1242,2120,282.11969,"15763-06-1",27476,"C02494",""
"met54","1-methyl-beta-carboline-3-carboxylic acid","Xenobiotics","Food Component/Plant",43449,"LC/MS Neg",100004434,3190,225.06695,"22329-38-0",5406157,"","HMDB01522"
"met55","1-methylguanidine","Amino Acid","Guanidino and Acetamido Metabolism",48114,"LC/MS Pos Early",100000715,2149,74.07127,"22661-87-6",10111,"C02294","HMDB00898"
"met56","1-methylhistamine","Amino Acid","Histidine Metabolism",43831,"LC/MS Pos Early",100001204,3040,126.10258,"501-75-7",3614,"C05127","HMDB00001"
"met57","1-methylhistidine","Amino Acid","Histidine Metabolism",30460,"LC/MS Pos Early",100001051,2755,170.09241,"332-80-9",92105,"C01152","HMDB02820"
"met58","1-methylimidazoleacetate","Amino Acid","Histidine Metabolism",32350,"LC/MS Pos Early",100001208,2064,141.06586,"2625-49-2",75810,"C05828","HMDB00699"
"met59","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",27665,"LC/MS Pos Early",55,1940,137.07094,"1005-24-9",10129985,"C02918","HMDB07883"
"met60","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","Lipid","Phosphatidylcholine (PC)",53195,"LC/MS Pos Late",100009139,1914,754.53813,"",NA,"","HMDB07869"
"met61","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","Lipid","Phosphatidylcholine (PC)",19258,"LC/MS Pos Late",100000672,2147,706.53813,"69525-80-0",129657,"","HMDB11561"
"met62","1-myristoylglycerol (14:0)","Lipid","Monoacylglycerol",35625,"LC/MS Neg",100001618,6353.3,227.20163,"75685-84-6",79050,"C01885","HMDB08123"
"met63","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*","Lipid","Phosphatidylcholine (PC)",52697,"LC/MS Pos Late",100009130,2011,832.58509,"",NA,"","HMDB11567"
"met64","1-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21184,"LC/MS Neg",100000924,6650,281.24858,"111-03-5",5283468,"",""
"met65","1-oleoyl-GPA (18:1)","Lipid","Lysophospholipid",36812,"LC/MS Pos Late",100001671,1635,437.26627,"325465-93-8",5497152,"","HMDB02815"
"met66","1-oleoyl-GPC (18:1)","Lipid","Lysophospholipid",48258,"LC/MS Pos Late",100001272,1540,522.35542,"19420-56-5",16081932,"","HMDB11506"
"met67","1-oleoyl-GPE (18:1)","Lipid","Lysophospholipid",35628,"LC/MS Pos Late",100001569,1554,480.30847,"89576-29-4",9547071,"",""
"met68","1-oleoyl-GPG (18:1)*","Lipid","Lysophospholipid",45968,"LC/MS Polar",100005716,825,509.28849,"",NA,"",""
"met69","1-oleoyl-GPI (18:1)*","Lipid","Lysophospholipid",36602,"LC/MS Neg",100001777,5599,597.30453,"",NA,"","HMDB61694"
"met70","1-oleoyl-GPS (18:1)","Lipid","Lysophospholipid",19260,"LC/MS Neg",100000630,5607,522.28374,"326589-90-6",9547099,"","HMDB08008"
"met71","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*","Lipid","Phosphatidylcholine (PC)",53180,"LC/MS Pos Late",100009345,1850,754.53813,"",NA,"","HMDB08006"
"met72","1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*","Lipid","Phosphatidylcholine (PC)",52683,"LC/MS Pos Late",100009075,2003,756.55378,"",NA,"","HMDB11565"
"met73","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol",52431,"LC/MS Neg",100008952,6094,253.21727,"",NA,"","HMDB10383"
"met74","1-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid",33230,"LC/MS Pos Late",100001511,1450,494.32412,"",24779461,"","HMDB07975"
"met75","1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*","Lipid","Phosphatidylcholine (PC)",52684,"LC/MS Pos Late",100009076,2034,756.55378,"",NA,"","HMDB07982"
"met76","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","Lipid","Phosphatidylcholine (PC)",52462,"LC/MS Pos Late",100008914,2091,782.56944,"35418-58-7",10747814,"","HMDB05323"
"met77","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phosphatidylethanolamine (PE)",52464,"LC/MS Pos Late",100008990,2198,740.52248,"",9546800,"","HMDB09789"
"met78","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","Lipid","Phosphatidylinositol (PI)",52467,"LC/MS Pos Late",100008993,2567,876.55966,"",NA,"","HMDB07991"
"met79","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","Lipid","Phosphatidylcholine (PC)",52610,"LC/MS Pos Late",100008915,2023,806.56944,"59403-54-2",6441886,"","HMDB05324"
"met80","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)",52465,"LC/MS Pos Late",100008991,2119,764.52248,"",9546799,"","HMDB07973"
"met81","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phosphatidylcholine (PC)",42446,"LC/MS Pos Late",1537,2160,758.56944,"40811-94-7",5287971,"","HMDB05322"
"met82","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","Lipid","Phosphatidylethanolamine (PE)",42449,"LC/MS Pos Late",100001870,2275,716.52248,"",9546747,"","HMDB09784"
"met83","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","Lipid","Phosphatidylinositol (PI)",52450,"LC/MS Pos Late",1528,2730,852.55966,"",NA,"","HMDB07972"
"met84","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phosphatidylcholine (PC)",52461,"LC/MS Pos Late",1539,2358,760.58509,"26853-31-6;26853-31-6",6436017,"","HMDB05320"
"met85","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phosphatidylethanolamine (PE)",19263,"LC/MS Pos Late",1526,2509,718.53813,"26662-94-2",5283496,"","HMDB09783"
"met86","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*","Lipid","Phosphatidylinositol (PI)",52669,"LC/MS Pos Late",100009066,3140,854.57531,"",NA,"","HMDB07969"
"met87","1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","Lipid","Phosphatidylcholine (PC)",52470,"LC/MS Pos Late",100008984,2160,732.55378,"",NA,"","HMDB07970"
"met88","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","Phosphatidylcholine (PC)",52616,"LC/MS Pos Late",100008921,2653,762.60074,"59403-51-9",NA,"","HMDB08925"
"met89","1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*","Lipid","Phosphatidylethanolamine (PE)",57388,"LC/MS Pos Late",100009205,2850,720.55378,"",5326793,"","HMDB31074"
"met90","1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",21127,"LC/MS Neg",100000827,6550,255.23293,"542-44-9",14900,"","HMDB00327"
"met91","1-palmitoyl-GPA (16:0)","Lipid","Lysophospholipid",34428,"LC/MS Neg",100001445,5600,409.23606,"17618-08-5",6419701,"C04036","HMDB10382"
"met92","1-palmitoyl-GPC (16:0)","Lipid","Lysophospholipid",33955,"LC/MS Pos Late",100001263,1525,496.33977,"17364-16-8",86554,"","HMDB11503"
"met93","1-palmitoyl-GPE (16:0)","Lipid","Lysophospholipid",35631,"LC/MS Pos Late",100001567,1544,454.29282,"53862-35-4",9547069,"",""
"met94","1-palmitoyl-GPG (16:0)*","Lipid","Lysophospholipid",45970,"LC/MS Neg",100005717,5570,483.27284,"",3300276,"","HMDB61695"
"met95","1-palmitoyl-GPI (16:0)","Lipid","Lysophospholipid",35305,"LC/MS Neg",100001655,5564,571.28888,"",NA,"",""
"met96","1-pentadecanoylglycerol (15:0)","Lipid","Monoacylglycerol",47898,"LC/MS Neg",100001431,6200,241.21728,"104140-07-0",190750,"","HMDB08048"
"met97","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","Lipid","Phosphatidylcholine (PC)",42450,"LC/MS Pos Late",100001869,2300,810.60074,"35418-59-8",16219824,"","HMDB09003"
"met98","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","Lipid","Phosphatidylethanolamine (PE)",52447,"LC/MS Pos Late",100008977,2424,768.55378,"",5289133,"","HMDB09815"
"met99","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","Lipid","Phosphatidylinositol (PI)",52449,"LC/MS Pos Late",100000616,3000,904.59096,"383907-33-3",NA,"","HMDB08039"
"met100","1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","Lipid","Phosphatidylcholine (PC)",52452,"LC/MS Pos Late",100008980,2380,786.60074,"",NA,"","HMDB08994"
"met101","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phosphatidylethanolamine (PE)",52446,"LC/MS Pos Late",100008976,2522,744.55378,"",9546749,"","HMDB09809"
"met102","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","Lipid","Phosphatidylinositol (PI)",52468,"LC/MS Pos Late",100008994,3185,880.59096,"",NA,"","HMDB08038"
"met103","1-stearoyl-2-oleoyl-GPC (18:0/18:1)","Lipid","Phosphatidylcholine (PC)",52438,"LC/MS Pos Late",100008904,2644,788.61639,"56421-10-4",NA,"","HMDB08993"
"met104","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phosphatidylethanolamine (PE)",42448,"LC/MS Pos Late",100001856,2858,746.56944,"",NA,"",""
"met105","1-stearoyl-2-oleoyl-GPG (18:0/18:1)","Lipid","Phosphatidylglycerol (PG)",52623,"LC/MS Polar",100001866,717,775.54946,"322647-48-3",NA,"",""
"met106","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*","Lipid","Phosphatidylinositol (PI)",52726,"LC/MS Pos Late",100009181,3711,882.60661,"",NA,"",""
"met107","1-stearoyl-GPA (18:0)","Lipid","Lysophospholipid",36810,"LC/MS Neg",100001670,5829,437.26736,"325465-92-7;799268-65-8",89567,"","HMDB10384"
"met108","1-stearoyl-GPC (18:0)","Lipid","Lysophospholipid",33961,"LC/MS Pos Late",100001271,1606,524.37107,"19420-57-6",497299,"","HMDB11130"
"met109","1-stearoyl-GPE (18:0)","Lipid","Lysophospholipid",42398,"LC/MS Pos Late",100001461,1626,482.32412,"69747-55-3",9547068,"",""
"met110","1-stearoyl-GPG (18:0)","Lipid","Lysophospholipid",34437,"LC/MS Neg",100001462,5816,511.30414,"",NA,"","HMDB61696"
"met111","1-stearoyl-GPI (18:0)","Lipid","Lysophospholipid",19324,"LC/MS Neg",100000656,5794,599.32018,"796963-93-4",NA,"",""
"met112","1-stearoyl-GPS (18:0)*","Lipid","Lysophospholipid",45966,"LC/MS Neg",100004327,5800,524.29939,"",9547101,"","HMDB12141"
"met113","2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant",38276,"LC/MS Polar",100002417,1050,133.05063,"1756-18-9",677,"C04039","HMDB00510"
"met114","2-aminoadipate","Amino Acid","Lysine Metabolism",6146,"LC/MS Neg",381,639.2,160.06153,"542-32-5;1118-90-7",469,"C00956","HMDB00650"
"met115","2-aminobutyrate","Amino Acid","Glutathione Metabolism",42374,"LC/MS Pos Early",1128,2059,104.07061,"1492-24-6",439691,"C02261",""
"met116","2-aminoheptanoate","Lipid","Fatty Acid, Amino",43761,"LC/MS Pos Early",100004542,3160,146.11756,"1115-90-8",227939,"","HMDB00991"
"met117","2-aminooctanoate","Lipid","Fatty Acid, Amino",43343,"LC/MS Neg",100004227,3385,158.11865,"644-90-6",69522,"","HMDB61116"
"met118","2-aminophenol sulfate","Xenobiotics","Chemical",43266,"LC/MS Neg",100004322,1677,188.0023,"",181670,"","HMDB04666"
"met119","2-arachidonoylglycerol (20:4)","Lipid","Monoacylglycerol",19266,"LC/MS Neg",100000584,6170,303.23293,"53847-30-6",5282280,"C13856","HMDB00101"
"met120","2'-deoxyadenosine","Nucleotide","Purine Metabolism, Adenine containing",1553,"LC/MS Pos Early",211,2252,252.10912,"16373-93-6",13730,"C00559","HMDB00014"
"met121","2'-deoxycytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",15949,"LC/MS Pos Early",100000125,2193,228.09789,"951-77-9",13711,"C00881","HMDB00085"
"met122","2'-deoxyguanosine","Nucleotide","Purine Metabolism, Guanine containing",1411,"LC/MS Neg",348,1751,266.08948,"961-07-9",187790,"C00330","HMDB00071"
"met123","2'-deoxyinosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,"LC/MS Neg",100000135,1688,251.07857,"890-38-0",65058,"C05512","HMDB00012"
"met124","2'-deoxyuridine","Nucleotide","Pyrimidine Metabolism, Uracil containing",52602,"LC/MS Neg",536,1586,227.0673,"951-78-0",13712,"C00526","HMDB11557"
"met125","2-docosahexaenoylglycerol (22:6)*","Lipid","Monoacylglycerol",48675,"LC/MS Neg",100006352,6050,309.22236,"",NA,"","HMDB00317"
"met126","2-hydroxy-3-methylvalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",36746,"LC/MS Neg",100001541,1800,131.07136,"488-15-3",164623,"",""
"met127","2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Glutathione Metabolism",52281,"LC/MS Polar",100008928,1258,103.04006,"",NA,"",""
"met128","2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",42489,"LC/MS Neg",100004089,4840,187.13396,"5393-81-7",21488,"","HMDB00606"
"met129","2-hydroxyglutarate","Lipid","Fatty Acid, Dicarboxylate",37253,"LC/MS Pos Early",100002070,958,131.03389,"40951-21-1",43,"C02630","HMDB00840"
"met130","2-hydroxyhippurate (salicylurate)","Xenobiotics","Benzoate Metabolism",18281,"LC/MS Neg",1869,2184,194.04588,"487-54-7",10253,"C07588","HMDB02264"
"met131","2-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22036,"LC/MS Neg",100000743,3736.8,159.10266,"617-73-2",94180,"",""
"met132","2-hydroxyoleate","Lipid","Fatty Acid, Monohydroxy",54920,"LC/MS Neg",100010866,5560,297.24351,"56472-29-8",9796304,"","HMDB31057"
"met133","2-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",35675,"LC/MS Neg",100001579,5511.2,271.22786,"764-67-0",92836,"","HMDB00669"
"met134","2-hydroxyphenylacetate","Amino Acid","Tyrosine Metabolism",1432,"LC/MS Polar",235,858.6,151.04006,"614-75-5",11970,"C05852",""
"met135","2-hydroxystearate","Lipid","Fatty Acid, Monohydroxy",17945,"LC/MS Neg",1239,5695,299.25917,"629-22-1",69417,"C03045","HMDB11538"
"met136","2-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",32506,"LC/MS Neg",100000987,6250,279.23293,"3443-82-1",5365676,"","HMDB00378"
"met137","2-methylbutyrylcarnitine (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",45095,"LC/MS Pos Early",100001509,3035,246.16999,"31023-25-3",6426901,"",""
"met138","2-methylcitrate/homocitrate","Energy","TCA Cycle",52282,"LC/MS Neg",100008929,575,205.03538,"",NA,"","HMDB11530"
"met139","2-myristoylglycerol (14:0)","Lipid","Monoacylglycerol",34383,"LC/MS Neg",100001408,6230,227.20163,"27214-38-6",137938,"","HMDB11537"
"met140","2-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21232,"LC/MS Neg",100000943,6500,281.24858,"3443-84-3",5319879,"",""
"met141","2'-O-methylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",57554,"LC/MS Pos Early",100010895,2411,258.10845,"2140-72-9",150971,"",""
"met142","2'-O-methyluridine","Nucleotide","Pyrimidine Metabolism, Uracil containing",57655,"LC/MS Neg",100010896,1831,257.07791,"2140-76-3",102212,"","HMDB35514"
"met143","2-oxindole-3-acetate","Xenobiotics","Food Component/Plant",40479,"LC/MS Pos Early",100003109,2378,192.06552,"2971-31-5",3080590,"","HMDB00225"
"met144","2-oxoadipate","Amino Acid","Lysine Metabolism",38347,"LC/MS Polar",92,2633.1,159.0299,"3184-35-8",71,"C00322","HMDB04225"
"met145","2-oxoarginine*","Amino Acid","Urea cycle; Arginine and Proline Metabolism",55072,"LC/MS Pos Early",100002784,1760,174.08732,"10/4/15",558,"C03771","HMDB11565"
"met146","2-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol",52432,"LC/MS Neg",100008953,6016,253.21727,"",NA,"","HMDB10383"
"met147","2-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid",47118,"LC/MS Neg",100001561,5720,568.3256,"",NA,"","HMDB11533"
"met148","2-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",33419,"LC/MS Neg",100001048,6400,255.23293,"23470-00-0",123409,"","HMDB61702"
"met149","2-palmitoyl-GPC (16:0)*","Lipid","Lysophospholipid",35253,"LC/MS Neg",100001562,6215,570.34125,"",15061532,"","HMDB11749"
"met150","2-piperidinone","Xenobiotics","Food Component/Plant",43400,"LC/MS Pos Early",100004295,1675,100.07569,"675-20-7",12665,"","HMDB02039"
"met151","2-pyrrolidinone","Amino Acid","Glutamate Metabolism",31675,"LC/MS Pos Early",100001081,1262,86.06004,"616-45-5",12025,"","HMDB11129"
"met152","2-stearoyl-GPE (18:0)*","Lipid","Lysophospholipid",41220,"LC/MS Neg",100003901,6350,480.30956,"",NA,"","HMDB00375"
"met153","3-(3-hydroxyphenyl)propionate","Xenobiotics","Benzoate Metabolism",35635,"LC/MS Neg",100001624,1980,165.05571,"621-54-5",91,"C11457",""
"met154","3-(3-hydroxyphenyl)propionate sulfate","Xenobiotics","Benzoate Metabolism",45415,"LC/MS Neg",100005391,1294,245.01253,"86321-32-6",187488,"","HMDB00755"
"met155","3-(4-hydroxyphenyl)lactate","Amino Acid","Tyrosine Metabolism",32197,"LC/MS Neg",240,1379,181.05063,"6482-98-0",9378,"C03672","HMDB02199"
"met156","3-(4-hydroxyphenyl)propionate","Xenobiotics","Benzoate Metabolism",39587,"LC/MS Neg",100002914,1670,165.05571,"501-97-3",10394,"C01744",""
"met157","3-acetylphenol sulfate","Xenobiotics","Chemical",48693,"LC/MS Neg",100004326,2477,215.00196,"",NA,"","HMDB03911"
