BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,RI,MASS,PUBCHEM,KEGG,HMDB,Cat 1_vial 1,Cat 2_vial 1,cat 3_vial 1,cat 4_vial 1,cat 5_vial 1,cat 6_vial 1,cat 7_vial 1,cat 8_vial 1,cat 1_vial 2,cat 2_vial 2,cat 3_vial 2,cat 4_vial 2,cat 5_vial 2,cat 6_vial 2,cat 7_vial 2,cat 8_vial 2,cat 1_vial 3,cat 2_vial 3,cat 3_vial 3,cat 4_vial 3,cat 5_vial 3,cat 6_vial 3,cat 7_vial 3,cat 8_vial 3
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,1558,438.2979,,,,"2,968,477","3,067,972","4,448,110","3,433,982","3,999,848","2,209,503","2,253,375","4,193,726","3,332,241","3,312,783","5,636,805","5,202,447","4,131,517","2,951,282","2,480,248","4,316,203","3,798,745","3,141,492","4,383,743","3,887,385","3,260,769","3,136,244","1,806,322","4,771,196"
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,LC/MS Pos Late,2511,752.55887,9547058,,HMDB05779,"32,918,444","38,485,880","47,144,552","47,941,184","46,085,160","24,108,220","33,135,580","38,870,264","34,246,648","38,395,360","49,215,760","52,753,960","48,258,984","27,373,012","28,764,160","34,221,656","42,056,404","40,192,460","53,119,848","50,468,880","40,889,036","30,019,536","26,480,684","36,849,120"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,LC/MS Pos Late,2633,728.55887,,,HMDB11376,"27,195,830","40,839,892","44,055,684","47,489,368","47,064,744","34,118,988","36,250,104","27,840,228","28,452,316","37,540,376","48,414,508","50,490,512","44,789,108","35,800,412","30,552,794","26,334,620","33,523,892","39,482,616","48,241,312","49,412,656","44,935,008","38,950,848","28,999,200","26,699,120"
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,LC/MS Pos Late,2950,730.57452,,,HMDB11375,"17,307,796","21,081,378","24,771,380","28,962,796","26,132,590","18,760,236","21,159,712","14,699,342","18,491,152","21,251,624","26,125,814","30,641,510","26,211,312","20,662,110","18,449,384","13,491,858","20,756,502","22,040,544","26,071,226","26,765,862","25,546,798","22,711,006","17,231,688","13,284,315"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,LC/MS Pos Late,1649,466.3292,,,,"6,977,856","6,527,970","9,663,084","6,852,465","9,975,864","5,661,360","5,560,094","9,723,854","7,735,187","6,679,707","10,795,055","10,079,521","9,656,748","6,642,548","5,603,883","8,853,936","9,221,471","6,823,829","9,643,931","8,760,676","7,856,156","7,426,180","4,346,200","10,321,549"
"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,LC/MS Neg,1709,204.98123,,,,"379,126","376,979","372,898","389,326","397,407","270,530","507,107","308,709","426,223","281,560","394,944","431,608","349,334","260,321","468,215","275,834","382,824","341,461","394,053","348,768","291,901","266,774","463,884","330,223"
"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,2006,782.56944,5288075,,HMDB08138,"304,145,024","421,396,000","390,130,432","369,610,656","372,573,184","299,810,880","270,493,728","341,682,944","313,563,040","406,833,824","408,385,920","385,006,176","375,803,968","314,141,632","248,479,648","332,722,368","381,048,480","413,855,232","421,231,296","376,511,040","342,587,296","340,513,088","239,651,376","339,799,584"
"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,2083,740.52248,9546812,,HMDB09093,"1,065,712","1,212,868","815,845","1,140,456","1,765,275","1,014,001","760,252","890,177","933,322","1,237,437","809,143","1,119,310","1,453,385","1,179,288","797,358","920,139","1,121,747","1,049,327","893,865","1,150,070","1,413,851","1,037,769","649,206","751,066"
"1,2-dioleoyl-GPC (18:1/18:1)",Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,2346,786.60074,10350317,,,"136,515,184","229,864,976","141,425,088","124,927,256","238,143,456","236,624,288","104,689,736","109,948,152","132,742,808","193,391,504","224,965,616","140,609,360","149,525,072","125,134,472","107,609,128","146,361,360","151,722,592","168,096,992","205,652,480","242,283,056","163,329,728","174,519,792","156,185,296","139,766,736"
"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,2485,744.55378,9546757,,,"11,936,322","13,574,183","15,414,577","11,653,535","18,889,324","8,551,062","6,444,793","11,424,382","13,987,519","15,057,280","12,229,031","13,928,952","22,012,496","10,326,704","3,978,456","10,156,450","15,064,542","16,919,050","9,871,022","13,736,397","27,172,526","12,081,013","5,935,039","8,702,894"
"1,2-dioleoyl-GPI (18:1/18:1)",Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,3121,880.59096,,,HMDB09837,"6,039,128","11,310,628","7,601,007","6,855,293","7,736,981","4,438,758","5,745,433","5,867,027","8,357,416","12,129,329","11,958,660","8,201,832","7,021,420","5,298,842","3,702,103","5,822,235","9,287,918","2,702,905","7,864,750","8,283,505","11,125,143","7,277,240","3,868,913","5,080,325"
"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,2365,734.56944,452110,D03585,HMDB00564,"41,281,620","45,271,816","48,413,456","47,776,472","47,830,340","29,796,082","35,690,256","43,781,584","43,713,200","48,335,924","50,768,772","51,978,692","50,142,428","33,920,752","34,779,088","41,760,400","46,855,196","45,312,924","48,873,752","49,202,648","46,236,828","33,174,704","33,555,888","40,998,160"
"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Neg,802,163.06119,64960,C07326,HMDB02712,"1,328,854","735,956","414,952","283,529","562,630","638,122","719,045","579,013","1,137,052","650,237","377,146","386,071","756,192","868,496","1,129,589","578,316","970,079","608,163","668,457",,"511,248","638,980","988,259","861,632"
10-heptadecenoate (17:1n7),Lipid,Long Chain Fatty Acid,LC/MS Neg,5555,267.23295,5312435,,HMDB60038,"26,383,764","9,615,534","15,610,273","9,380,565","10,255,011","10,623,455","15,499,736","27,811,704","29,361,580","14,980,450","9,239,141","12,585,095","9,867,859","21,077,948","20,065,020","23,542,376","24,340,936","10,149,670","12,443,496","7,760,315","7,437,838","11,559,427","16,301,088","24,784,366"
10-nonadecenoate (19:1n9),Lipid,Long Chain Fatty Acid,LC/MS Neg,5780,295.26425,5312513,,HMDB13622,"6,203,172","4,039,894","4,640,918","3,865,835","3,115,514","5,880,437","9,944,634","7,325,847","10,536,503","4,584,202","4,134,679","5,188,643","2,579,916","6,518,092","9,036,180","6,036,588","6,447,719","4,385,443","3,922,907","4,338,980","2,724,342","6,104,224","10,531,959","6,853,747"
"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",LC/MS Neg,5137,313.23843,10236635,C14829,HMDB04705,"626,900","308,169","613,861","386,397",,"387,259","571,596","459,503","741,713","426,646","857,131","480,592","515,078","499,585","480,538","552,080","451,389",,"458,386","201,125",,"244,733","274,925","659,852"
12-HETE,Lipid,Eicosanoid,LC/MS Neg,5326,319.22786,5312983,,HMDB06111,"32,942,688","5,410,530","14,513,843","6,996,478","92,846,544","24,974,092","16,832,456","55,749,192","43,519,352","8,053,480","29,291,942","54,782,748","72,050,840","26,589,768","17,806,436","62,605,256","34,691,596","4,378,079","9,766,846","27,863,712","54,685,188","23,473,008","13,295,368","72,838,120"
12-HHTrE,Lipid,Eicosanoid,LC/MS Neg,5175,279.19657,5283141,C20388,HMDB12535,"3,589,438","630,835","3,124,668","1,110,052","14,654,808","4,627,393","3,784,307","13,338,733","3,013,780","758,585","2,778,193","8,090,278","13,036,972","4,564,129","3,592,232","13,288,005","3,205,942","663,201","2,649,194","5,444,100","6,880,551","4,096,335","3,907,873","16,013,184"
13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5275,295.22825,43013,,,"5,721,441","5,128,269","5,005,135","3,560,930","4,442,234","3,751,219","4,631,823","5,506,698","11,278,907","8,548,706","15,610,153","9,852,719","4,239,613","5,390,135","3,855,367","11,181,815","6,191,064","3,509,263","2,833,352","3,068,884","5,703,272","3,391,215","2,632,881","5,636,508"
16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5236.2,271.22786,10466,C18218,HMDB06294,"1,333,016","1,010,463","1,004,461","653,404","1,231,041","1,308,837","697,865","1,486,480","2,200,965","1,315,519","1,119,307","1,238,251","726,820","1,231,068","917,860","1,030,304","1,241,923","926,641","1,136,629","1,191,834","1,119,609","985,783","778,162","1,224,219"
17-methylstearate,Lipid,"Fatty Acid, Branched",LC/MS Neg,5993,297.2799,3083779,,HMDB37397,"2,756,428","1,377,056","2,166,041","2,805,269","1,430,337","2,918,822","3,249,754","2,682,305","3,816,550","2,193,339","1,899,789","3,372,624","1,621,398","3,226,041","3,257,621","1,996,352","2,527,908","2,026,708","2,059,846","3,249,231","1,644,618","2,593,915","4,538,514","1,975,000"
1-arachidonoyl-GPA (20:4),Lipid,Lysophospholipid,LC/MS Neg,5499,457.23606,,,,"3,178,551","5,481,900","6,849,041","6,288,697","2,098,968","3,983,851","3,489,008","5,028,098","4,606,951","5,985,499","6,496,556","8,598,601","1,688,370","4,596,774","3,330,393","3,550,870","3,073,230","7,723,034","5,076,472","5,651,920","1,808,411","4,813,997","4,929,292","4,789,448"
1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid,LC/MS Pos Late,1460,544.33977,,C05208,HMDB10395,"127,795,568","237,569,408","266,192,848","208,103,952","127,653,672","144,095,328","150,381,904","208,188,000","141,522,528","246,524,720","288,175,136","220,312,960","152,866,480","196,651,312","169,028,832","206,018,320","174,564,704","246,044,256","299,358,304","250,617,856","174,093,088","211,649,344","156,434,352","265,834,832"
1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,LC/MS Pos Late,1470,502.29282,42607465,,HMDB11517,"6,771,435","13,101,615","12,814,453","7,259,772","6,238,453","7,642,899","8,033,816","12,400,059","6,833,861","12,327,791","14,031,809","8,376,979","6,229,780","8,651,867","7,147,151","11,526,229","9,202,029","14,467,126","14,208,487","7,574,020","6,633,398","9,977,016","5,617,381","11,836,568"
1-arachidonoyl-GPI (20:4)*,Lipid,Lysophospholipid,LC/MS Neg,5482,619.28888,,,HMDB61690,"13,702,882","14,577,319","28,968,356","22,914,456","6,491,201","8,499,182","18,514,480","17,015,796","25,178,198","25,763,114","26,581,024","29,562,120","6,474,103","15,734,831","20,471,644","8,890,323","13,947,906","25,083,286","17,071,016","24,423,966","14,378,295","23,125,316","30,977,368","17,164,224"
1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,LC/MS Neg,6250,303.23293,5282281,C13857,HMDB11549,"13,011,317","18,728,036","32,614,966","31,436,982","16,746,545","27,914,282","18,987,168","20,266,286","25,382,896","24,891,500","26,324,444","29,317,212","16,293,517","31,189,960","17,592,216","24,415,494","20,003,680","25,934,828","37,485,504","27,765,940","14,713,850","22,455,004","21,575,276","22,170,530"
1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,LC/MS Neg,6400,305.24858,,,,"2,986,123","4,006,131","6,342,414","7,429,106","4,065,866","6,287,344","3,287,070","4,318,943","6,126,766","4,741,609","5,177,967","6,853,023","3,837,976","6,489,090","4,084,344","5,484,990","3,965,570","6,110,163","7,012,370","5,733,080","3,479,130","5,944,386","5,339,453","4,782,601"
1-docosahexaenoylglycerol (22:6),Lipid,Monoacylglycerol,LC/MS Neg,6150,309.22236,,,HMDB11587,"315,203","437,329","876,677","778,723","433,740","720,220","464,826","618,503","568,528","497,897","663,557","605,596","343,355","726,365","453,821","712,832","488,656","589,732","848,461","619,572","397,999","620,684","544,315","717,475"
1-eicosapentaenoylglycerol (20:5)*,Lipid,Monoacylglycerol,LC/MS Neg,5988,301.21728,,,HMDB11580,,"100,596","354,168","352,537","98,605","185,838","132,980","129,887","238,401",,,"320,016","82,530","158,576","87,051","194,831","88,282","245,189","307,149","231,656","87,396","130,953","204,317","180,224"
1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,LC/MS Pos Late,1907,608.46497,,,HMDB10405,"3,805,679","5,749,442","5,695,841","5,622,983","3,222,974","1,848,587","3,595,205","5,324,095","4,066,290","5,763,670","5,305,605","6,066,439","3,383,819","2,374,292","3,241,244","4,441,042","5,171,438","5,900,848","5,890,511","5,874,113","3,234,860","2,420,040","2,403,822","4,569,272"
1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,LC/MS Neg,6214,277.21728,53480978,,HMDB11569,"2,354,285","3,702,766","4,085,408","3,921,219","2,354,840","4,104,981","1,951,642","2,970,336","3,810,934","3,872,825","3,173,118","3,802,200","2,197,126","4,253,431","2,002,585","3,290,536","2,765,465","4,517,800","4,049,173","3,602,565","2,303,053","3,379,030","2,755,608","2,721,595"
1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,LC/MS Pos Late,1422,518.32412,,,HMDB10388,"5,460,039","18,100,274","14,408,414","9,356,147","6,807,541","6,202,249","4,866,709","9,892,167","5,662,586","18,068,958","17,381,372","11,050,112","7,606,076","8,116,781","5,233,848","9,243,873","7,535,600","18,403,264","15,899,228","10,839,292","7,795,699","9,749,568","3,963,411","12,149,573"
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,1969,806.56944,,,HMDB08147,"168,900,832","268,632,224","219,337,184","232,338,032","212,631,744","164,619,328","146,946,336","217,252,240","171,088,560","260,897,248","214,363,184","248,099,568","212,083,696","171,138,384","136,169,472","188,638,176","221,124,224","263,205,360","243,078,528","238,305,888","213,879,824","190,510,032","121,342,000","209,517,664"
1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,2030,764.52248,,,HMDB09102,"1,325,577","1,452,988","1,378,989","1,452,403","1,885,164","1,166,458","972,080","1,497,076","1,500,898","1,531,159","1,307,797","1,866,637","1,698,647","1,206,918","932,633","1,346,052","1,714,278","1,317,374","1,272,393","1,710,000","1,555,336","1,179,478","816,820","1,231,428"
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,1939,780.55378,,,HMDB08141,"21,858,546","45,564,180","38,709,472","26,932,508","27,796,380","20,269,044","17,175,288","31,281,574","20,945,908","45,165,828","39,308,972","32,143,718","29,808,380","24,838,644","15,822,726","27,486,582","28,351,742","44,041,496","41,092,744","28,892,266","28,172,328","26,327,400","12,475,875","28,098,112"
1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,LC/MS Neg,6477,279.23293,5283469,,,"185,316,448","272,988,576","354,508,768","391,045,312","231,435,456","314,820,960","201,964,096","248,400,128","327,097,152","313,208,640","295,747,616","383,970,912","216,332,064","333,340,096","200,650,864","288,748,288","249,397,088","378,677,664","403,761,248","330,549,824","195,204,240","278,674,880","261,783,120","268,264,752"
1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,LC/MS Neg,5483,433.23606,,,HMDB07856,"3,365,709","7,118,698","6,102,000","4,843,692","2,021,364","4,593,223","3,591,471","5,727,846","5,335,807","6,866,146","7,110,200","8,366,486","1,803,809","3,372,106","3,361,907","3,589,392","3,584,022","8,155,598","4,363,727","6,650,068","2,390,943","4,191,287","5,038,654","4,643,433"
1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,LC/MS Pos Late,1465,520.33977,11988421,C04100,HMDB10386,"430,164,768","856,971,392","808,366,400","663,480,896","482,328,288","450,958,400","452,162,336","660,524,544","461,305,920","882,304,320","906,686,976","727,387,968","541,207,296","539,602,816","485,359,936","636,569,920","603,685,312","888,001,536","914,457,216","725,895,488","543,435,904","614,562,752","421,102,784","801,464,256"
1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,LC/MS Pos Late,1482,478.29282,52925130,,HMDB11507,"10,871,045","32,373,676","25,439,638","18,200,106","15,865,740","14,813,897","15,839,593","22,642,448","10,310,896","32,923,620","27,716,512","18,244,596","16,975,088","17,206,796","14,503,837","20,827,062","16,448,346","35,503,076","31,657,096","18,428,560","18,390,542","20,002,520","12,835,332","22,615,364"
1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,LC/MS Polar,860,507.27284,,,,"227,167","528,558","332,873","211,260","241,751","394,693","390,853","404,296","226,677","561,823","382,726","264,071","215,172","448,346","371,201","313,231","231,524","528,596","443,466","250,345","264,777","518,348","367,045","452,863"
1-linoleoyl-GPI (18:2)*,Lipid,Lysophospholipid,LC/MS Neg,5494,595.28888,,,,"2,636,200","3,911,712","7,189,624","4,308,675","1,475,565","2,240,546","4,407,119","3,816,255","4,406,471","6,564,746","7,305,400","5,276,022","1,688,954","4,906,824","5,377,191","2,151,588","2,939,011","6,275,410","4,689,653","4,569,523","2,609,588","6,557,597","7,332,048","3,883,466"
1-linoleoyl-GPS (18:2)*,Lipid,Lysophospholipid,LC/MS Neg,5500,520.26809,,,,"623,422",,"304,373","301,232","1,020,719","597,181","984,871","1,007,391","768,308",,"206,907","900,478","891,468","549,629","728,529","646,250","483,852",,"139,923","740,094","1,023,090","838,783","800,201","799,777"
N1-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",LC/MS Pos Early,2120,282.11969,27476,C02494,HMDB03331,"3,637,794","3,158,436","3,394,497","3,676,067","3,825,613","3,317,757","3,012,543","3,634,466","3,709,040","2,982,897","2,811,378","3,347,013","3,983,142","3,163,802","2,552,680","3,677,674","4,067,862","3,736,717","3,203,250","3,164,875","3,119,840","3,149,313","3,362,165","3,077,073"
1-methyl-beta-carboline-3-carboxylic acid,Xenobiotics,Food Component/Plant,LC/MS Neg,3190,225.06695,5406157,,,"723,182","712,365","625,483","642,835","808,940","668,578","336,375","742,316","657,636","845,216","604,595","747,632","638,445","712,652","427,568","874,670","638,447","745,097","617,640","832,510","727,133","633,255","442,176","753,164"
1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,LC/MS Pos Early,2149,74.07127,10111,C02294,HMDB01522,"2,955,142","3,379,531","3,668,526","4,460,537","3,989,275","3,445,938","2,935,508","3,027,911","3,443,305","3,426,607","3,523,326","5,235,833","4,234,385","3,737,499","3,284,979","3,162,755","2,691,680","2,903,951","3,034,817","4,354,236","3,109,843","2,932,141","2,826,839","2,714,079"
1-methylhistamine,Amino Acid,Histidine Metabolism,LC/MS Pos Early,3040,126.10258,3614,C05127,HMDB00898,"9,945,475","9,810,751","6,368,860","5,116,229","14,103,959","18,813,804","5,958,731","6,289,671","10,376,691","9,337,116","6,585,663","5,487,321","13,822,006","19,976,122","5,367,740","5,618,716","11,534,168","11,392,375","6,347,065","5,421,098","8,628,688","22,641,942","6,686,463","5,934,507"
1-methylhistidine,Amino Acid,Histidine Metabolism,LC/MS Pos Early,2755,170.09241,92105,C01152,HMDB00001,"293,270,688","276,290,240","272,704,576","218,226,400","375,393,088","325,513,568","252,611,232","327,418,240","225,246,528","280,132,256","279,080,416","264,031,600","377,372,480","260,501,952","355,992,096","295,033,184","285,761,024","214,157,360","268,938,656","288,979,008","282,646,176","314,393,600","317,796,192","329,711,296"
1-methylimidazoleacetate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,2064,141.06586,75810,C05828,HMDB02820,"7,121,029","7,302,546","11,187,789","10,216,518","12,767,355","21,195,752","12,815,629","8,307,097","8,709,562","7,681,761","10,101,175","10,665,977","13,170,327","19,100,924","12,580,675","9,313,077","8,707,836","8,223,417","10,989,655","9,257,337","10,206,769","20,013,632","14,865,512","7,939,937"
1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,LC/MS Pos Early,1940,137.07094,10129985,C02918,HMDB00699,"93,188,512","100,850,288","88,081,912","117,554,152","107,881,400","96,629,960","69,391,304","118,135,632","81,710,744","85,225,176","83,223,616","104,616,856","105,570,056","93,429,928","65,009,012","101,076,240","98,250,112","100,054,536","98,168,456","124,961,760","126,150,904","103,303,088","65,647,420","120,803,712"
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,1914,754.53813,,,HMDB07883,"3,993,657","9,739,204","7,605,185","4,630,284","5,419,894","4,194,310","4,826,952","5,460,595","4,228,589","9,201,444","7,960,353","5,024,912","5,320,210","4,725,120","4,116,047","4,922,404","5,415,742","9,021,768","7,729,327","4,989,717","5,696,440","5,175,551","3,257,571","5,050,684"
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,2147,706.53813,129657,,HMDB07869,"1,364,047","1,753,173","1,449,865","1,793,546","1,799,622","1,078,959","1,635,482","1,531,859","1,283,964","1,467,749","1,857,940","1,795,345","1,803,848","1,035,739","1,529,097","1,221,858","1,538,444","1,832,966","1,912,498","1,386,729","1,871,092","995,772","1,487,737","1,478,955"
1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,LC/MS Neg,6353.3,227.20163,79050,C01885,HMDB11561,"1,639,829","2,226,557","2,507,540","2,529,695","1,955,627","3,457,280","3,240,158","1,902,867","2,902,516","2,120,768","1,699,329","2,551,777","2,084,175","3,608,283","3,063,185","2,168,623","2,101,260","2,725,955","2,309,816","2,002,303","1,829,245","2,824,924","3,228,136","2,035,908"
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,2011,832.58509,,,HMDB08123,"13,876,396","25,337,872","16,865,724","16,384,231","20,862,652","16,033,480","14,524,772","13,473,840","12,599,626","24,159,576","18,234,692","16,407,646","18,501,108","16,699,310","14,246,589","15,964,714","16,766,834","25,826,944","17,663,892","17,376,780","18,198,464","18,336,892","13,113,044","14,771,668"
1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,LC/MS Neg,6650,281.24858,5283468,,HMDB11567,"43,927,128","75,254,888","88,972,784","105,881,368","74,448,064","119,940,800","69,489,744","64,328,376","91,864,352","80,143,920","76,505,152","110,486,560","59,414,976","120,107,912","76,658,880","83,424,632","74,846,992","102,361,696","104,787,920","76,653,024","54,534,108","109,103,160","99,049,328","69,788,488"
1-oleoyl-GPA (18:1),Lipid,Lysophospholipid,LC/MS Pos Late,1635,437.26627,5497152,,,"74,826","119,014","130,438","144,277","79,379",,,"123,726","92,850","92,763","173,508","227,271","86,313","117,090","145,376","113,043","100,548","92,130",,"164,546",,,,
